trial_number,rdc_batch_size,rdc_hidden_dim,value
2,512,128,93.78500250073917
3,512,64,94.40002968648636
0,512,128,92.57455732342675
1,64,128,90.72722785666825
4,128,128,89.07617373693577
5,128,128,92.7094561393613
7,512,64,90.186898170852
6,64,128,90.05709562905271
8,512,64,93.45790961197811
9,512,64,91.86221942797468
10,512,256,95.15195161654766
11,512,64,91.88838254772953
12,128,128,90.93385260917353
14,256,256,93.81588987146895
13,256,256,90.08957845533808
15,256,256,94.78815837677891
16,256,256,95.64377997890327
17,256,256,93.66223306767002
18,512,256,93.8161144536616
19,256,256,93.73473677921172
