trial_number,rdc_epsilon_end,rdc_epsilon_decay,value
0,0.05,0.999,98.22121373943223
4,0.13999999999999999,0.994,97.68980755841035
3,0.07,0.995,96.97121736667769
2,0.16999999999999998,0.992,98.20280418351412
1,0.1,0.997,97.12170566023168
5,0.08,0.994,98.02776626868557
6,0.16999999999999998,0.997,97.43381979042333
7,0.19999999999999998,0.995,97.37492412474612
8,0.04,0.998,97.80244527319685
9,0.15,0.991,97.84115336752139
10,0.12000000000000001,0.992,97.57491847515948
11,0.13,0.992,97.31780401364924
12,0.11,0.999,98.15477079059318
13,0.19999999999999998,0.998,97.68789435234143
14,0.03,0.999,96.92159013763168
15,0.02,0.999,96.32510182095712
16,0.03,0.999,97.75352257186213
17,0.02,0.99,97.83688047440812
18,0.02,0.99,97.91666858636292
19,0.06,0.99,97.9645580387847
20,0.16999999999999998,0.99,95.38173670953405
21,0.06,0.99,97.33933250402228
22,0.06,0.993,97.32668214304107
23,0.06,0.993,97.45191407257666
24,0.16999999999999998,0.993,95.52624802344316
25,0.1,0.996,96.90836050348462
26,0.1,0.996,96.27088226831377
27,0.1,0.997,97.92251107402203
28,0.1,0.996,97.7766835458743
29,0.09000000000000001,0.996,97.35324245837566
30,0.09000000000000001,0.998,95.17580675136587
31,0.15,0.998,97.82075919375885
32,0.15,0.998,96.90250895515646
33,0.15,0.998,97.39187897314584
34,0.12000000000000001,0.998,97.02307569359412
35,0.07,0.994,96.7437195897281
36,0.08,0.994,96.35507942147635
37,0.08,0.994,96.61247863144591
38,0.08,0.994,97.96499089176777
39,0.08,0.994,96.84882789028227
40,0.08,0.995,97.4288872285168
41,0.05,0.995,97.92027254460247
42,0.05,0.995,93.42975763616872
43,0.04,0.992,97.54158033798068
44,0.05,0.992,96.79787600284962
45,0.05,0.992,96.92141326071528
46,0.12000000000000001,0.992,97.65081089275938
47,0.12000000000000001,0.992,97.19833156294078
48,0.12000000000000001,0.991,97.45251825780578
49,0.11,0.991,97.28316542188234
