trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
0,7500,0.65,0.45,125000,0.005,256,256,6.328035298346314e-06,1500,1.0,0.98,0.045,0.9986,1.5,1.1,0.07,95.43426972720303
2,10000,0.6,0.25,150000,0.009000000000000001,256,128,1.976854230255049e-06,2000,0.9,0.95,0.03,0.9993,1.35,1.1,0.060000000000000005,97.38248103694181
1,7500,0.65,0.3,100000,0.006,256,128,5.807519781856477e-06,1500,1.0,0.98,0.034999999999999996,0.9981,1.4,1.15,0.1,97.01964771043441
4,10000,0.7,0.25,75000,0.006,256,128,1.5454206677065684e-06,1750,0.9,0.97,0.045,0.9984,1.45,1.05,0.07,97.46615266048013
3,7500,0.75,0.4,75000,0.01,256,128,1.1679396136645474e-06,1750,1.0,0.96,0.04,0.9989,1.45,1.2,0.08,94.3018214623591
5,10000,0.8,0.35,50000,0.007,256,256,1.4416681228701371e-06,1750,0.9,0.96,0.045,0.9994,1.25,1.15,0.1,95.68797815603035
6,5000,0.75,0.35,50000,0.006,512,256,2.9465544197750964e-06,1500,0.9500000000000001,0.98,0.05,0.9982,1.45,1.2,0.07,96.75089659533369
7,5000,0.8,0.25,100000,0.005,256,128,6.915424249778292e-06,1750,0.9500000000000001,0.97,0.034999999999999996,0.998,1.25,1.15,0.1,95.39089886421301
8,7500,0.7,0.4,50000,0.007,256,128,1.4940536670586513e-06,1500,0.9,0.99,0.04,0.999,1.25,0.9,0.07,91.23486632877915
9,5000,0.65,0.45,100000,0.005,256,256,3.855219218695657e-06,2000,0.9500000000000001,0.98,0.034999999999999996,0.9992,1.25,0.9500000000000001,0.060000000000000005,97.21513819187024
