trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,rdc_batch_size,rdc_hidden_dim,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,rdc_epsilon_end,rdc_epsilon_decay,value
4,19007,0.5,0.35,5114,0.0037363309320602193,1024,1024,9.73001366538067e-06,3900,0.77,0.983,0.072,0.9674840786066196,78.50147424259481
2,9393,0.5,0.45999999999999996,11925,0.0004252576576579267,256,512,1.3304239601865998e-06,3900,0.75,0.96,0.074,0.9619874181211946,77.02975425358576
1,5957,1.0,0.5,34796,0.0049411137863101876,1024,256,3.4580292542407774e-06,5100,0.76,0.964,0.065,0.9749719959400109,78.75185303285386
0,12919,0.9000000000000001,0.42000000000000004,33907,0.00010357559097885741,512,1024,1.0220320400345226e-06,2900,0.71,0.961,0.075,0.9619979243653397,78.29498696421653
3,8171,0.5,0.42000000000000004,12167,0.003837420348043557,256,512,2.972931152400382e-06,3700,0.7999999999999999,0.979,0.063,0.97035383520119,78.95075875942578
5,8638,0.5,0.43,18487,0.0006257125209577977,1024,512,2.869979738539234e-06,4000,0.71,0.97,0.066,0.9707392914538957,78.9562225289999
6,5997,0.9000000000000001,0.28,26639,0.0005895272906709071,256,1024,3.0846442827662044e-06,3400,0.7799999999999999,0.961,0.065,0.9608645349607886,79.07091171191703
7,47524,1.0,0.48,22147,0.0037259761385938037,1024,512,7.811583085312167e-06,4300,0.75,0.965,0.067,0.9628498800111145,78.25870577708938
8,53999,0.8,0.35,7772,0.0008905004243512292,512,1024,7.377449518345318e-06,4500,0.72,0.988,0.06999999999999999,0.9673019438874167,79.29125446417375
9,11629,0.6000000000000001,0.37,6761,0.00012631476317280028,512,256,1.1184122833691697e-06,2900,0.77,0.979,0.064,0.9748223354799869,78.57253801891152
10,12935,1.0,0.25,45402,0.00258267359531244,1024,512,1.1111474177851237e-06,2900,0.77,0.978,0.06999999999999999,0.967616083342974,79.45156530042276
12,12628,0.6000000000000001,0.56,27182,0.0007773125415358217,1024,1024,7.3450682680089445e-06,3100,0.7999999999999999,0.986,0.075,0.9702336101965521,78.91452226112267
