trial_number,rdc_lr,rdc_lr_step_size,rdc_lr_gamma,rdc_gamma,value
4,3.3984599288281984e-06,1500,1.0,0.92,96.66133094094592
1,1.168318825124507e-06,2000,0.8500000000000001,0.98,97.50790161793142
0,2.4774386143638213e-06,1750,0.8500000000000001,0.9500000000000001,97.27530014399997
2,3.027315484627181e-06,2000,0.8500000000000001,0.9500000000000001,96.29678146304072
3,5.9751843067489995e-06,1250,1.0,0.9,95.49835043632564
5,4.750241197242457e-06,2000,1.0,0.9400000000000001,97.5314080775394
6,3.036829419845476e-06,1000,0.8500000000000001,0.9,94.80576374584709
7,7.261786448271463e-06,1500,0.8,0.98,96.85312662935304
8,3.539472449687775e-06,1500,0.8500000000000001,0.93,97.01666306083028
9,4.656809354178207e-06,2000,1.0,0.9,94.52778639097869
10,1.4274558213189026e-06,1750,0.9,0.9500000000000001,96.52602175121396
11,5.0345862337612e-06,1750,1.0,0.99,97.72724927461262
12,8.838937200956648e-06,1250,0.9500000000000001,0.9400000000000001,95.04930674747838
13,2.8786369011406064e-06,1500,0.8500000000000001,0.9400000000000001,97.41790974786525
14,9.513869889915614e-06,1750,0.9500000000000001,0.96,95.38674710126284
15,1.0951085791509442e-06,2000,0.9500000000000001,0.99,96.74089132889307
16,8.840677423534502e-06,1750,0.9500000000000001,0.99,97.33577613553044
17,5.094974885897045e-06,1750,0.9500000000000001,0.99,93.6585787841523
18,5.083464872118781e-06,1750,0.9500000000000001,0.99,96.62908645057689
19,5.159142872868496e-06,1750,0.9500000000000001,0.99,97.69514067931856
20,5.0836347933331984e-06,1750,0.9500000000000001,0.97,95.81295087396697
21,4.888085920663314e-06,1750,1.0,0.97,97.20970320533856
22,1.9460855894429178e-06,2000,1.0,0.97,97.44233847788333
23,1.9543827919065737e-06,2000,1.0,0.92,95.98884186661788
24,2.1160742944221884e-06,1250,0.9,0.97,94.86940629603916
25,3.873497108352433e-06,2000,1.0,0.97,96.36528142006352
26,3.9630632254381245e-06,2000,1.0,0.92,96.17078365380621
27,4.0306922783359734e-06,2000,0.9,0.92,96.68009370134506
28,3.992965533781966e-06,2000,0.9,0.96,97.43501307741455
29,4.093013298755041e-06,2000,1.0,0.96,96.08089622325545
