trial_number,rdc_replay_buffer_capacity,rdc_replay_buffer_alpha,rdc_replay_buffer_beta_start,rdc_replay_buffer_beta_frames,rdc_tau,value
0,89359,0.5,0.1,6073,0.0005279329640165864,67.4833381941448
4,7462,0.1,0.30000000000000004,3083,0.000617507128019344,75.79212732716252
2,50676,0.8,0.6,27072,0.006632855294038999,74.44795274822005
1,38170,0.5,0.1,9115,0.0006035891919028524,76.86717321719797
3,8108,0.30000000000000004,0.5,9561,0.09137855451612584,66.74791056355306
5,6405,0.4,0.1,8930,0.00033393166940876744,47.099031525140994
6,7198,0.30000000000000004,0.1,30419,0.011186160561517604,72.73853042725798
7,65297,1.0,0.4,17159,0.014961147328228027,74.58246517857535
8,23332,0.30000000000000004,0.5,111719,0.004433308712086037,68.8651880793889
9,119499,0.30000000000000004,0.1,248314,0.00010958753783852993,64.91030617117664
10,6272,0.4,0.30000000000000004,97873,0.07845469851615594,75.66475993160103
11,44042,0.5,0.2,60708,0.013247114058606272,67.15291591748348
12,29048,0.4,0.1,14989,0.00331780959469154,76.97663099932967
13,7981,0.9,0.1,5703,0.0002709911681408821,68.69555267704712
14,25270,0.7000000000000001,0.30000000000000004,154283,0.0015009859219179585,65.35861063120736
15,20745,0.0,0.30000000000000004,3109,0.0011529598370588747,73.8526188589869
16,16385,0.0,0.30000000000000004,3434,0.0007199004795159108,53.81180103225275
17,24367,0.7000000000000001,0.2,15532,0.0016062242664592397,71.3178255014781
18,22469,0.7000000000000001,0.2,14375,0.0015625100475866619,68.66177881656994
19,22852,0.0,0.2,17423,0.0016060492786597292,76.95131197828208
20,34017,0.7000000000000001,0.2,16923,0.0021233811675692212,76.62024748583721
21,36520,0.7000000000000001,0.2,14281,0.0019412587546198592,75.22094327880579
22,35751,0.6000000000000001,0.2,48324,0.0025232976597395936,74.00097009663466
23,39975,0.6000000000000001,0.2,46833,0.03028928032297354,64.56236410190988
24,13071,0.1,0.2,40425,0.0030207298551551366,76.81798431068195
25,14035,0.1,0.2,34969,0.002527186039950357,76.79916204504897
26,12885,0.2,0.1,49890,0.003882813032114896,73.49740781960045
27,13304,0.1,0.1,24971,0.004071878623300109,76.8626845425824
28,13218,0.1,0.1,25855,0.003667856499205228,74.80065694115387
29,12244,0.5,0.1,24777,0.000172757547293249,75.45420831415429
30,56930,0.2,0.1,9565,0.005468661396005258,75.65622432935103
31,29364,0.5,0.1,9533,0.00016298258364077424,70.17851340032976
32,56424,0.5,0.4,8693,0.00014945664326468895,62.02079734928035
33,74665,0.4,0.4,6496,0.0009517421762904961,72.66969218231965
34,60569,0.4,0.4,5555,0.0008335103313369905,67.1303266053884
35,29799,0.0,0.1,6671,0.0008637407752397779,69.86775401193786
36,17538,0.0,0.1,6044,0.0009026169316351967,73.31346421682449
37,18115,0.0,0.1,5593,0.0008182979248940576,72.68960095444382
38,17637,0.0,0.1,492250,0.007726239895607796,75.36186599242869
39,18200,0.0,0.1,23723,0.008027657573785608,69.54393603239814
40,19730,0.2,0.1,24663,0.007219962103797021,70.82021434340994
41,10895,0.2,0.6,21987,0.007700505613230841,74.69746691159173
42,10202,0.2,0.6,22277,0.007292564714858571,73.24342618727795
43,10582,0.2,0.6,21421,0.0003758889885799229,66.1102358375224
44,9985,0.2,0.5,18747,0.000418796399664474,76.65307973185831
45,9986,0.1,0.2,11940,0.0004836494961355706,69.84241594030821
46,11036,0.1,0.2,11062,0.0005566034059199705,70.72946081471615
47,9372,0.1,0.2,74569,0.000352299311883722,70.67371590822715
48,28731,0.1,0.2,11770,0.0004888684167559164,76.49294606062793
49,5319,0.1,0.2,11940,0.017387261346643163,69.3026644911016
