trial_number,rdc_reward_weight_demand,rdc_reward_weight_rebalancing,rdc_reward_weight_gini,value
4,1.25,1.1,0.2,93.78857689410893
1,1.2,1.35,0.07,95.55485641139774
3,1.5,1.25,0.2,96.13577318507753
0,1.2,1.0,0.19,95.76690312979062
2,1.1,1.3,0.1,96.0990197531369
5,1.45,1.2,0.060000000000000005,96.83232060057716
6,1.4,1.05,0.07,97.93739427899247
7,1.3,1.35,0.18,94.74998073033302
8,1.2,1.2,0.07,97.41288741750728
9,1.35,1.1,0.12000000000000001,95.74758459666154
10,1.25,1.1,0.16,96.75354042832615
11,1.1,1.35,0.15000000000000002,95.90784143458357
12,1.3,1.2,0.09,97.23429617387025
13,1.5,1.4,0.13,94.9983509250836
14,1.0,1.45,0.15000000000000002,95.9705715602204
15,1.05,1.45,0.09,96.3915050093438
16,1.0,1.0,0.09,96.61047418122865
17,1.4,1.45,0.05,97.85719995216971
18,1.0,1.5,0.05,97.17538421818975
19,1.4,1.0,0.05,96.9028604595182
20,1.4,1.0,0.05,97.99665810061047
21,1.4,1.15,0.060000000000000005,97.11675792579732
22,1.4,1.05,0.05,97.69156576388465
23,1.4,1.05,0.05,97.65974931963127
24,1.4,1.5,0.11,96.66256164358347
25,1.4,1.05,0.07,97.4927394815227
26,1.4,1.05,0.07,98.27922198476875
27,1.45,1.05,0.07,96.99877944618434
28,1.45,1.05,0.07,97.59276506344942
29,1.45,1.05,0.07,96.33754150983587
