trial_number,learning_rate,n_steps,batch_size,gamma,clip_range,ent_coef,value
0,6.0538750759208716e-05,64,32,0.9457483673487649,0.2286101243764338,0.0006130110238715075,189.05950560000002
1,4.2134602588604584e-05,128,64,0.9532662882165756,0.12059981620576304,0.0038497068065780704,190.8552006
2,0.0006913495810942481,64,16,0.9375856845964591,0.2787583970217514,0.0005894734278586926,193.22167040000002
3,0.0005889116746588121,64,64,0.9766559167866186,0.23272488143008221,0.05243832432918253,194.29347560000002
4,0.0002911884078074489,256,64,0.969854168958811,0.197389230545309,0.014092726392567336,202.7242362
5,1.0594231401127838e-05,512,32,0.9693494265952486,0.20423119394912131,0.0006220069517103974,194.45442559999998
6,7.01320276401099e-05,128,32,0.9535081208003702,0.10507703262517137,0.000259536360217944,200.62865399999998
7,0.00019817441258502888,256,32,0.9145784055077046,0.18186025486944796,0.0002986918249740283,185.96479440000002
8,1.2381475427025538e-05,256,32,0.9277391338056662,0.19333201083926344,0.0008662157364486877,192.3687544
9,0.0005421530999735096,256,16,0.9721367420612799,0.19181747894530476,0.0004761556125188399,190.1635542
10,0.000239922213543709,512,64,0.9964838926739398,0.14651100686050028,0.02577280185968169,195.3023682
11,0.00012529549745459915,128,64,0.9593200436758111,0.10202472925491722,0.007494288968825184,197.43812820000002
12,3.263314356706139e-05,128,32,0.9929096123036529,0.1505758683469433,0.012847473536976224,197.57953759999998
