trial_number,n_layers,hidden_size,activation,value
0,2,128,ReLU,217.7553006
1,3,256,ReLU,217.59237720000002
2,2,256,Tanh,217.6135708
3,3,64,ReLU,217.73297279999997
4,3,256,ReLU,217.65704060000002
5,2,128,ReLU,217.60784239999998
6,2,256,ReLU,217.54963379999998
7,2,64,Tanh,217.7265382
8,3,64,ReLU,217.61535220000002
9,3,128,Tanh,217.7299374
10,2,128,Tanh,217.58600940000002
11,3,64,ReLU,217.71427640000002
12,3,64,ReLU,217.64883460000001
13,2,128,ReLU,217.70369340000002
14,2,64,ReLU,217.84337
15,2,128,ReLU,217.64506999999998
16,2,64,ReLU,217.71665240000002
17,2,128,ReLU,217.60859139999997
18,2,64,Tanh,217.8727778
19,2,64,Tanh,217.64959819999999
20,2,64,Tanh,217.64217360000004
21,2,64,Tanh,217.7253412
22,2,64,Tanh,217.730237
23,2,128,Tanh,217.6795564
24,2,64,ReLU,217.6514546
25,2,128,ReLU,217.7162672
26,2,64,Tanh,217.59564680000003
27,2,64,ReLU,217.6391016
28,2,256,Tanh,217.68533280000003
29,2,128,ReLU,217.7228552
