trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,n_layers,hidden_size,activation,gamma,gae_lambda,use_target_kl,reward_weight_demand,reward_weight_rebalancing,reward_weight_gini,value
0,1.7563275120741337e-06,1024,32,0.129,0.0024435481795050695,0.373,3,64,ReLU,0.934,0.931,0.01,0.8,1.5,0.13,220.67916340000002
1,4.168503705375971e-06,512,64,0.23399999999999999,0.0009743080981549355,0.46,2,64,Tanh,0.921,0.9510000000000001,0.022,0.8,1.1,0.03,217.1685008
2,7.171340451429753e-07,1024,64,0.22,1.1034037758185982e-05,0.523,3,64,ReLU,0.9520000000000001,0.933,0.022,0.7,1.0,0.18,211.94221540000004
3,2.00018701940056e-06,1024,32,0.17099999999999999,0.0012958827567577005,0.579,2,64,ReLU,0.9460000000000001,0.92,0.02,1.0,1.0,0.1,208.01446380000002
4,1.491792395068153e-06,1024,64,0.093,0.0007134062127363676,0.41800000000000004,3,64,ReLU,0.9530000000000001,0.921,0.022,0.5,0.9,0.06,220.6391294
5,1.8161553655138854e-06,1024,32,0.199,0.00011249571648534855,0.5650000000000001,2,64,Tanh,0.9450000000000001,0.924,0.01,0.8,0.8,0.16,205.0027232
6,2.159057531593205e-06,512,32,0.16599999999999998,1.6067535616866954e-05,0.515,2,128,Tanh,0.9560000000000001,0.9530000000000001,0.01,0.7,1.4000000000000001,0.02,225.48564539999998
7,7.984763791967062e-07,1024,32,0.11199999999999999,0.0003267986387758052,0.45,2,128,ReLU,0.9500000000000001,0.93,0.022,0.5,0.8,0.07,217.58826139999996
8,1.466740918696161e-06,1024,64,0.21,1.3576781704206609e-05,0.35500000000000004,2,128,Tanh,0.9560000000000001,0.93,0.022,1.0,1.5,0.1,217.3348854
9,4.179084398103683e-06,512,64,0.105,1.6206122597702305e-05,0.403,3,128,Tanh,0.9500000000000001,0.924,0.022,1.0,1.2000000000000002,0.04,214.063631
10,2.9440842505039187e-06,512,32,0.153,5.825524952019039e-05,0.518,2,128,Tanh,0.936,0.892,0.01,0.6,1.3,0.0,227.7068162
11,2.9890751013494147e-06,512,32,0.152,5.3577205611068555e-05,0.514,2,128,Tanh,0.933,0.898,0.01,0.6,1.3,0.0,227.84756460000003
12,3.0737767035163877e-06,512,32,0.142,5.083861617905992e-05,0.515,2,128,Tanh,0.934,0.893,0.01,0.6,1.3,0.0,227.6498752
