trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,hidden_size,activation,gamma,gae_lambda,use_target_kl,value
1,5.6150887571008893e-05,256,32,0.25,0.00015244538727911453,0.72,256,LeakyReLU,0.9686122981501362,0.97,0.02,164.4757576
3,3.5435835924801474e-05,256,64,0.3,0.00011963546817950389,0.67,256,ReLU,0.9656426795296695,0.94,0.02,164.327578
2,2.9911528478591826e-05,256,64,0.26,0.00017350713502982786,0.7000000000000001,256,LeakyReLU,0.9543312849201114,0.95,0.02,164.0192202
0,2.7902027187115974e-05,256,32,0.29,0.0001999394026292119,0.7000000000000001,128,ReLU,0.9668818181138885,0.96,0.02,164.10083679999997
5,2.9313948530834347e-05,512,64,0.3,6.795168604746721e-05,0.6900000000000001,256,LeakyReLU,0.9582056945763863,0.97,0.02,164.3827768
4,4.310436655119996e-05,512,32,0.27,4.2657495300395514e-05,0.74,256,ReLU,0.9765020647126949,0.97,0.02,163.8858944
6,5.480225355151508e-05,512,64,0.26,6.293182180946604e-05,0.72,256,LeakyReLU,0.978299495743487,0.95,0.02,163.9592844
7,2.006293655932234e-05,512,32,0.26,3.7377569993678746e-05,0.72,128,ReLU,0.9698514497276447,0.94,0.02,163.8764092
9,2.9305103156145984e-05,512,64,0.27,2.4044486074664716e-05,0.75,256,LeakyReLU,0.9735560335386296,0.95,0.02,163.9449548
8,2.369109712632667e-05,512,32,0.29,8.08253546119335e-05,0.65,128,ReLU,0.9598507523247294,0.94,0.02,164.0654536
10,2.4920812381619686e-05,256,32,0.28,8.751438000602906e-05,0.67,256,LeakyReLU,0.977141644835487,0.96,0.02,163.5144034
11,4.5420169727422155e-05,256,32,0.26,2.0542197986044535e-05,0.74,256,LeakyReLU,0.9517577255892372,0.96,0.02,163.6211636
