trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,value
0,4.4406283089256214e-05,2048,128,0.1,0.00019693022298858617,0.75,163.9991478
1,0.0003422566418037409,2048,128,0.2,0.0005384978579399993,0.55,163.91730139999999
2,0.0003624977114880646,1024,64,0.1,2.185740801567198e-05,0.7000000000000001,164.2971038
3,0.00036640165283596414,1024,256,0.15000000000000002,0.00011951897747967208,0.55,164.4568554
4,0.00028184122360767894,512,32,0.15000000000000002,0.00015767832675501166,0.75,164.68120340000002
5,0.00019080184165320727,512,32,0.3,1.4646316789975076e-05,0.5,164.10367459999998
6,2.0656838587027374e-05,256,64,0.25,2.3907123176493074e-05,0.6000000000000001,163.8675792
7,0.0002470317118764851,512,64,0.15000000000000002,1.1162253131266423e-05,0.6000000000000001,163.7887226
8,0.00024074240417394185,512,256,0.3,0.00037814330407041463,0.6000000000000001,163.80552840000001
9,2.26809624627161e-05,2048,128,0.15000000000000002,2.8340477590812136e-05,0.55,164.2257008
10,7.012996591219739e-06,256,32,0.2,5.58927489622565e-05,0.4,164.2439708
11,0.00011503599512349919,1024,256,0.15000000000000002,0.00011744545629701128,0.8,164.2045034
12,0.0001089081045036257,1024,256,0.15000000000000002,0.00020262427013048833,0.7000000000000001,163.8921876
13,0.00048540588680579585,1024,32,0.1,0.0009586407045828883,0.45,163.7848
14,8.822620654812236e-05,512,32,0.2,6.484612573719894e-05,0.7000000000000001,164.719419
15,9.779026369863541e-05,512,32,0.25,5.8646768367135685e-05,0.7000000000000001,164.4082024
16,5.425412917173361e-05,512,32,0.25,5.605202746612603e-05,0.8,164.04360359999998
17,5.8963966022948e-05,512,32,0.2,0.0002161276508092139,0.75,164.1323702
18,0.0001779697165793594,512,32,0.2,6.718344910916671e-05,0.65,163.41660059999998
19,2.5845530498303568e-05,512,32,0.25,3.613194272023723e-05,0.75,164.87742799999998
20,1.4488516248201097e-05,256,32,0.25,3.694322060086028e-05,0.65,165.24235319999997
21,1.1876369055111103e-05,256,32,0.25,3.50630785826678e-05,0.65,163.90503619999998
22,2.6921355416116157e-05,256,32,0.25,3.8548354990810135e-05,0.65,164.082224
23,1.0840066966494027e-05,256,32,0.3,1.7239009307560096e-05,0.7000000000000001,164.54652679999998
24,3.26607393406995e-05,256,32,0.25,8.178892169153754e-05,0.75,163.9045702
25,1.627004222822241e-05,512,32,0.2,3.758267498847479e-05,0.65,164.2108584
26,6.191284432983072e-06,512,32,0.3,4.231893995647034e-05,0.8,164.09954980000003
27,3.782516296052203e-05,256,128,0.25,9.425351266380131e-05,0.7000000000000001,163.70322099999998
28,7.537641574246962e-05,2048,64,0.2,1.0083251916824423e-05,0.75,164.05243079999997
29,1.4930001602592266e-05,2048,128,0.25,1.8190278400572432e-05,0.65,163.94302720000002
30,9.397650295306512e-06,512,32,0.2,2.8683394106337828e-05,0.8,164.3472882
31,4.2520168905075804e-05,512,32,0.1,0.00016161223141488893,0.75,163.9050624
32,2.6899130647191068e-05,512,32,0.15000000000000002,0.0001525963770134467,0.75,164.1041052
33,0.00013304558277258243,512,32,0.2,0.00030216922407858606,0.7000000000000001,163.96251
34,6.638522787486685e-05,512,32,0.1,4.628510041260463e-05,0.75,164.5754856
35,8.336902505617776e-05,512,128,0.3,7.44147341081789e-05,0.7000000000000001,164.4374396
36,1.792666439767235e-05,2048,64,0.2,0.00010734209523500615,0.8,163.9980098
37,0.0001410278507384535,256,32,0.25,2.4741842161907318e-05,0.65,164.0556784
38,0.000304330818180857,512,256,0.15000000000000002,0.0001432066255750914,0.6000000000000001,164.2647422
39,2.9963662909504123e-05,1024,32,0.25,0.00027426975076569923,0.55,164.2235894
40,8.13904428838753e-06,512,64,0.15000000000000002,1.3497492212134916e-05,0.75,163.8774776
41,6.128789189022912e-05,512,32,0.1,4.438942105530616e-05,0.75,164.15365
42,4.5827520910936903e-05,512,32,0.1,2.9956810578838042e-05,0.7000000000000001,164.0213014
43,1.3047886611021082e-05,512,32,0.1,4.711421938791194e-05,0.75,164.4812644
44,2.1758189695793227e-05,512,32,0.15000000000000002,9.447296688194183e-05,0.7000000000000001,164.24411719999998
45,7.32799086497645e-05,256,256,0.1,2.1204870166808694e-05,0.6000000000000001,164.057596
46,0.0004769510361508297,512,32,0.2,6.468853332234988e-05,0.8,164.1187692
47,0.0001938899094867789,1024,32,0.15000000000000002,4.9859075899200165e-05,0.7000000000000001,164.2806734
48,3.5244886588342045e-05,2048,32,0.3,0.000473132615645426,0.75,164.3475252
49,5.1543605517621525e-06,512,128,0.15000000000000002,3.36394398507331e-05,0.4,163.71866319999998
