trial_number,reward_weight_demand,reward_weight_rebalancing,reward_weight_gini,value
0,0.6,1.2000000000000002,0.01,225.64826539999999
1,0.30000000000000004,1.5,0.13,234.59922819999997
2,0.5,1.6,0.1,230.4951484
3,0.1,0.8,0.32,219.7597252
4,0.30000000000000004,1.9000000000000001,0.32,231.25750299999999
5,0.6,2.0,0.02,234.5790486
6,0.4,1.0,0.39,211.726066
7,0.7000000000000001,1.0,0.2,211.18330980000002
8,0.8,0.9,0.39,201.04712580000003
9,0.2,1.2000000000000002,0.34,224.0980978
10,0.9,1.6,0.16,219.0238274
11,0.4,2.0,0.0,241.10404099999997
12,0.30000000000000004,1.7000000000000002,0.09,238.32435420000002
13,0.4,1.8,0.07,236.7292736
14,0.1,1.7000000000000002,0.07,247.0668576
15,0.1,2.0,0.0,251.71515319999997
16,0.1,1.8,0.06,248.01212500000003
17,0.1,1.4000000000000001,0.25,235.09497919999998
18,1.0,1.9000000000000001,0.04,223.979607
19,0.2,1.8,0.19,238.1343596
20,0.2,2.0,0.05,245.6043376
21,0.1,1.7000000000000002,0.12,244.3938204
22,0.1,1.8,0.07,247.50035740000004
23,0.2,1.9000000000000001,0.15,240.61307259999998
24,0.1,1.8,0.24,239.45882
25,0.30000000000000004,1.5,0.04,238.96022
26,0.2,1.3,0.08,239.0462192
27,0.5,1.9000000000000001,0.04,235.7927524
28,0.1,1.6,0.11,244.322134
29,0.7000000000000001,1.8,0.01,230.459449
