trial_number,gamma,gae_lambda,use_target_kl,value
0,0.9390000000000001,0.896,0.01,217.6992452
1,0.9410000000000001,0.96,0.02,217.6155978
2,0.9470000000000001,0.88,0.022,217.6845534
3,0.9460000000000001,0.888,0.01,217.67588880000002
4,0.925,0.907,0.02,217.6955314
5,0.936,0.883,0.01,217.652264
6,0.935,0.94,0.022,217.60089320000003
7,0.954,0.913,0.022,217.70230920000003
8,0.923,0.921,0.01,217.6041902
9,0.916,0.902,0.022,217.680789
10,0.954,0.922,0.008,217.7325216
11,0.9520000000000001,0.925,0.008,217.66697
12,0.954,0.935,0.008,217.5788832
13,0.9470000000000001,0.911,0.008,217.695206
14,0.9520000000000001,0.933,0.008,217.5695286
15,0.928,0.955,0.022,217.7536322
16,0.928,0.96,0.008,217.69445619999996
17,0.93,0.948,0.022,217.65806080000002
18,0.918,0.948,0.02,217.6294976
19,0.913,0.9450000000000001,0.022,217.55711779999996
20,0.931,0.931,0.008,217.66074639999997
21,0.9490000000000001,0.913,0.022,217.79465639999998
22,0.9430000000000001,0.917,0.022,217.61756780000002
23,0.922,0.898,0.022,217.7424658
24,0.922,0.895,0.022,217.70461519999998
25,0.925,0.901,0.022,217.6587316
26,0.92,0.893,0.022,217.66277139999997
27,0.928,0.904,0.022,217.6746404
28,0.932,0.954,0.022,217.8349004
29,0.9380000000000001,0.955,0.022,217.64016980000002
